epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,learning_rate,experiment
1,2.5456329620841784,0.7859765582287812,0.053809499057876416,1.9043661864612365,0.847114191757084,0.12628065117151846,0.0003,combined_no_caption
2,1.6191670562565281,0.8355407726684326,0.18433802918557962,1.9485310608199398,0.848315381131481,0.1492798373884775,0.0003,combined_no_caption
3,1.0810144040719714,0.856668700685335,0.4514988026675609,2.0909854369388583,0.854498552665262,0.1684236806389516,0.0003,combined_no_caption
4,0.7819627772770227,0.8732324318985859,0.6419471740666441,2.1922990235807607,0.8603075832463619,0.18566617244705594,0.0003,combined_no_caption
5,0.608222351490939,0.8867592439094074,0.7371453763379175,2.2802278683447224,0.8671011952818857,0.21482692456508487,0.0003,combined_no_caption
6,0.4966714469153193,0.8982296983185838,0.7914452481781361,2.3476226226868877,0.8692278912234409,0.2411082982748655,0.0003,combined_no_caption
7,0.41038876291544696,0.9083845071267076,0.8396791038617987,2.4043130993108335,0.8707441466632535,0.2796160035163268,0.0003,combined_no_caption
8,0.35491797572254485,0.9169908751335927,0.866319993631773,2.4390627945957486,0.8773408424078925,0.27821995227322394,0.0003,combined_no_caption
9,0.31317390415643437,0.9236960823389568,0.8774953643838548,2.574055056288579,0.8815745426619144,0.29639616728476664,0.0003,combined_no_caption
10,0.27896549167121876,0.9299639167439712,0.892774625768205,2.514524720405402,0.8855128684796093,0.3216880768901899,0.0003,combined_no_caption
11,0.2541875966662554,0.9351594823481276,0.9031327341982057,2.5341768502353403,0.8892936612645964,0.34335729273466753,0.0003,combined_no_caption
12,0.22852757755214448,0.939741315151793,0.9129336000062048,2.6062432492823695,0.8934092117440876,0.37299566710188486,0.0003,combined_no_caption
13,0.21504572357106536,0.9434730927547784,0.9194248134348849,2.6301894313373646,0.8950239253293425,0.3712387271785926,0.0003,combined_no_caption
14,0.19884877638629705,0.9464959031571967,0.9253516859826224,2.574981199684002,0.8969340133509245,0.390897315722921,0.0003,combined_no_caption
15,0.1839014236838758,0.9497268183597815,0.9304804122607212,2.632800757224179,0.9013646298958313,0.3959258468378776,0.0003,combined_no_caption
