epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,learning_rate,experiment
1,3.3118378491031635,0.6868701728576683,0.09325854731175959,1.9687274186669113,0.7952773956900504,0.1274170556618831,0.0003,kvasir_to_x1
2,1.9861366755532417,0.7991173225450533,0.13291614715868422,1.5942859833309377,0.8294360385144429,0.15364514209020097,0.0003,kvasir_to_x1
3,1.7330526609901296,0.8196640921907564,0.1492149069258414,1.500285519257099,0.8372306281522237,0.1664002256518746,0.0003,kvasir_to_x1
4,1.6142694386924996,0.8286624984675739,0.1706315668327419,1.4710716013512661,0.8400962861072903,0.16945706315603956,0.0003,kvasir_to_x1
5,1.5399496559449617,0.8337378938335173,0.18348881503754208,1.4494828388047076,0.8446813388353966,0.18435154943701734,0.0003,kvasir_to_x1
6,1.4637174466522327,0.8387152139266887,0.21657620529667848,1.4354309715409173,0.8434204493351674,0.1883837651946144,0.0003,kvasir_to_x1
7,1.3865633082416138,0.8408973887458624,0.23600199150007878,1.4311354699237584,0.8453690967446126,0.18963416744214084,0.0003,kvasir_to_x1
8,1.3148452407211537,0.8456785582934903,0.271662092664305,1.4386550887141518,0.8397524071526823,0.19451282333238457,0.0003,kvasir_to_x1
9,1.2526560896662091,0.8505823219320828,0.30795116709695797,1.472895636573837,0.849266391563503,0.1853606890094089,0.0003,kvasir_to_x1
10,1.193324539097878,0.8517592252053451,0.33348240241242216,1.4824076647716944,0.8473177441540578,0.18546034215643348,0.0003,kvasir_to_x1
11,1.139335454119703,0.855167340934167,0.3635490503418268,1.4781561201726117,0.8441082072443833,0.1882829263877648,0.0003,kvasir_to_x1
12,1.0722080239086915,0.8609783008458992,0.4124946122572479,1.5219545504304588,0.8420449335167355,0.18288314555144627,0.0003,kvasir_to_x1
