question_type,support,accuracy,macro_f1,precision,recall
abnormality_presence,1815,0.0,0.0,0.0,0.0
abnormality_color,1698,0.0,0.0,0.0,0.0
landmark_color,42,0.0,0.0,0.0,0.0
procedure_type,2303,0.0034737299174989146,0.0015738736966358449,0.058823529411764705,0.0007976071784646061
abnormality_location,1814,0.009371554575523704,0.0016437505458938243,0.01973255055446836,0.0011642668956612686
polyp_count,1900,0.01,0.11285592844998786,0.2246031746031746,0.11208576998050683
finding_count,2114,0.054399243140964997,0.051351390541612085,0.2136479591836735,0.034226082286170904
instrument_count,2208,0.16666666666666666,0.05248842775237918,0.13676072054838193,0.04321910273966255
polyp_removal_status,2312,0.33866782006920415,0.08637692946235159,0.1471688265477938,0.11110231443564778
landmark_presence,1260,0.49523809523809526,0.0973810975857912,0.21666666666666665,0.13492524047398266
landmark_location,1144,0.5375874125874126,0.012030516431924883,0.01108108108108108,0.013157894736842106
polyp_size,1929,0.5443234836702955,0.05492637250542725,0.05794062465511533,0.05221023320570832
text_presence,2454,0.5452322738386308,0.12687640441830308,0.14995401513636475,0.14833269671504967
polyp_type,1959,0.55895865237366,0.07404902789518174,0.07414680390032503,0.0739515094212197
instrument_location,1863,0.6167471819645732,0.03269074287031377,0.0412519481786488,0.03433672343252018
instrument_presence,1835,0.6970027247956403,0.1053352702806025,0.19379084967320262,0.09794668370775433
box_artifact_presence,2319,0.7813712807244502,0.13975342584772357,0.15474223137989102,0.12764173096276418
finding_presence,237,1.0,1.0,1.0,1.0
