epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,learning_rate,experiment
1,3.6338308724670765,0.6490621552041191,0.09305105088759708,1.9944434598846645,0.8042182485098579,0.12665512844596793,0.0003,kvasir_no_caption
2,2.042688483529572,0.7932818438151281,0.12565166324256488,1.6164221302296577,0.8200366804218249,0.14612298982953803,0.0003,kvasir_no_caption
3,1.7861000351568523,0.8112541375505701,0.14404478420944636,1.5227103304392917,0.8421595598349381,0.1651225468683241,0.0003,kvasir_no_caption
4,1.6924966406000879,0.8168444280985656,0.156274560982463,1.4660316393059474,0.8455983493810179,0.18036475781155178,0.0003,kvasir_no_caption
5,1.5768336571620583,0.8290793183768542,0.176657521752225,1.4456654100011435,0.8443374598807887,0.18178833346764017,0.0003,kvasir_no_caption
6,1.5602337838154556,0.8269461811940665,0.18420874222735795,1.4326933259430525,0.8443374598807887,0.19402106261272123,0.0003,kvasir_no_caption
7,1.449967752281059,0.8360917003800417,0.21492024808359775,1.4239127503683238,0.8455983493810179,0.18606599410276,0.0003,kvasir_no_caption
8,1.4013451391565928,0.8381757999264435,0.22961981077524224,1.4291949156827197,0.8427326914259514,0.18382201983104415,0.0003,kvasir_no_caption
9,1.3413336679575065,0.8416084344734583,0.2620245470899739,1.4231403967701257,0.8403255387436955,0.1876636385259283,0.0003,kvasir_no_caption
10,1.2847993452057647,0.8441829103837195,0.28588609826244066,1.434523330266079,0.844222833562586,0.18847709184276534,0.0003,kvasir_no_caption
1,3.3182467237149615,0.6973397082260635,0.09244019306045348,1.9919647016092377,0.7928702430077946,0.1303257852660061,0.0003,kvasir_caption
2,1.9792297979451663,0.7993625107269829,0.12912836506111106,1.5811470490647586,0.8372306281522237,0.1523642081232567,0.0003,kvasir_caption
3,1.7125858272774863,0.8229986514649994,0.14967014997823275,1.5036893811918957,0.8402109124254928,0.1730051038645687,0.0003,kvasir_caption
4,1.5898674420198564,0.8309672673777124,0.17743106787539828,1.45595547317748,0.8504126547455296,0.18448203633629942,0.0003,kvasir_caption
5,1.4958226681939377,0.8372195660169179,0.19667654884512706,1.4419079714551644,0.8502980284273269,0.18741781037571892,0.0003,kvasir_caption
6,1.4138797742414082,0.8426382248375628,0.23524146313391112,1.439308934887305,0.8473177441540578,0.18845964191860443,0.0003,kvasir_caption
7,1.3291796629899737,0.847198725021454,0.2687526021031102,1.4540371382143562,0.853622191655204,0.19138169363066815,0.0003,kvasir_caption
8,1.2563700915493625,0.8482039965673654,0.2914882544256883,1.4826559793069132,0.8522466758367722,0.18859156974094982,0.0003,kvasir_caption
9,1.181537713566963,0.8520779698418536,0.3357224141096959,1.488298896308997,0.8501834021091242,0.19453251593408954,0.0003,kvasir_caption
10,1.09108806632672,0.8581095991173225,0.39753586490866094,1.496642213904054,0.848922512608895,0.19466935506401317,0.0003,kvasir_caption
11,1.0305359459542989,0.8609047443913204,0.4249476813938424,1.5226224268974924,0.8498395231545163,0.1871298527607348,0.0003,kvasir_caption
12,0.9563488837125562,0.8649503493931593,0.4716204564360349,1.5543769236717242,0.8475469967904631,0.19463387676785013,0.0003,kvasir_caption
13,0.898096812513802,0.8679906828490866,0.5077249863184935,1.5838986008279863,0.844222833562586,0.19217085794831346,0.0003,kvasir_caption
14,0.8283911981549905,0.8722324383964692,0.5322525795279781,1.6349752978522096,0.8511004126547456,0.20264259195258494,0.0003,kvasir_caption
15,0.788115035677944,0.87637611867108,0.5655911446243811,1.670595984402079,0.8457129756992205,0.1902396287079947,0.0003,kvasir_caption
1,2.5553189526135607,0.7930959188550052,0.05022404245042568,2.073887136124287,0.8395587151382582,0.1199605427563417,0.0003,x1_no_caption
2,1.6858403958970127,0.8347849014938655,0.1760032951664765,2.169048512871095,0.8387978791697378,0.12111221189651941,0.0003,x1_no_caption
3,1.223704508859212,0.8561917553125746,0.3865920037989402,2.2157288302867104,0.843529327848974,0.11998527598251099,0.0003,x1_no_caption
4,1.1150989323859604,0.8600149963333141,0.4547092218459297,2.280512220138076,0.843339118856844,0.12076863306046044,0.0003,x1_no_caption
5,1.0044474433785087,0.8632573354317213,0.5279514370152601,2.3745728094223666,0.8436957607170879,0.11997130578037898,0.0003,x1_no_caption
6,0.8726942766248361,0.8689427585013554,0.6235306311768192,2.5028035334608387,0.8448607907938848,0.11609136922659567,0.0003,x1_no_caption
1,3.3118378491031635,0.6868701728576683,0.09325854731175959,1.9687274186669113,0.7952773956900504,0.1274170556618831,0.0003,kvasir_to_x1
2,1.9861366755532417,0.7991173225450533,0.13291614715868422,1.5942859833309377,0.8294360385144429,0.15364514209020097,0.0003,kvasir_to_x1
3,1.7330526609901296,0.8196640921907564,0.1492149069258414,1.500285519257099,0.8372306281522237,0.1664002256518746,0.0003,kvasir_to_x1
4,1.6142694386924996,0.8286624984675739,0.1706315668327419,1.4710716013512661,0.8400962861072903,0.16945706315603956,0.0003,kvasir_to_x1
5,1.5399496559449617,0.8337378938335173,0.18348881503754208,1.4494828388047076,0.8446813388353966,0.18435154943701734,0.0003,kvasir_to_x1
6,1.4637174466522327,0.8387152139266887,0.21657620529667848,1.4354309715409173,0.8434204493351674,0.1883837651946144,0.0003,kvasir_to_x1
7,1.3865633082416138,0.8408973887458624,0.23600199150007878,1.4311354699237584,0.8453690967446126,0.18963416744214084,0.0003,kvasir_to_x1
8,1.3148452407211537,0.8456785582934903,0.271662092664305,1.4386550887141518,0.8397524071526823,0.19451282333238457,0.0003,kvasir_to_x1
9,1.2526560896662091,0.8505823219320828,0.30795116709695797,1.472895636573837,0.849266391563503,0.1853606890094089,0.0003,kvasir_to_x1
10,1.193324539097878,0.8517592252053451,0.33348240241242216,1.4824076647716944,0.8473177441540578,0.18546034215643348,0.0003,kvasir_to_x1
11,1.139335454119703,0.855167340934167,0.3635490503418268,1.4781561201726117,0.8441082072443833,0.1882829263877648,0.0003,kvasir_to_x1
12,1.0722080239086915,0.8609783008458992,0.4124946122572479,1.5219545504304588,0.8420449335167355,0.18288314555144627,0.0003,kvasir_to_x1
1,2.54620656626208,0.7893962739879535,0.05051736716063368,2.065570219751403,0.8360636249078676,0.11543937303526189,0.0003,x1_to_kvasir
2,1.672785583118256,0.8337837726489952,0.19226961644782772,2.2044662481515367,0.8372286549846644,0.11977994562934152,0.0003,x1_to_kvasir
3,1.2020122722088031,0.8542265764689403,0.41248637439936525,2.237725977176703,0.8427684918804537,0.11807276352743905,0.0003,x1_to_kvasir
4,1.094182165517331,0.8578273444130419,0.48160872447831793,2.309525594079474,0.8412230438193966,0.11642897952984357,0.0003,x1_to_kvasir
5,0.9854354246169356,0.8631831777395087,0.5560724388325778,2.3960213682734794,0.840176894362681,0.12532779133582783,0.0003,x1_to_kvasir
6,0.9008688260964322,0.8617989008182065,0.5821295803535934,2.7245062397902635,0.8385125656815426,0.12134625549087608,0.0003,x1_to_kvasir
7,0.6024413629228752,0.8849814193782289,0.7357371456552166,3.059090948532276,0.8415083573075918,0.12407886906804035,0.0003,x1_to_kvasir
8,0.4733720937457226,0.8991331789754703,0.8093125706059553,3.315246155923017,0.8440286264533156,0.12334835232350672,0.0003,x1_to_kvasir
9,0.39369601226009243,0.9089755526808005,0.8438474615570307,3.5712772574783345,0.8454551938942914,0.1293227147692859,0.0003,x1_to_kvasir
10,0.3541420721140814,0.9154684706211943,0.8523960259898161,3.397372987409294,0.844337716065527,0.1206321993988162,0.0003,x1_to_kvasir
11,0.32160744968332616,0.9193287904880401,0.8740507815322318,3.593612208329321,0.8446705818017547,0.1277384304109363,0.0003,x1_to_kvasir
12,0.31680455567295285,0.9189950808730832,0.877348977427108,3.6958974437232466,0.8479992391640315,0.13058941026726278,0.0003,x1_to_kvasir
13,0.4487276787373832,0.9002991026919243,0.7966469432167174,3.7551548547651104,0.8433628949808603,0.12397467741771262,0.0003,x1_to_kvasir
14,0.3284624099199064,0.9177591193362062,0.8664974595221547,3.991099366090979,0.8425545067643073,0.12800938791187785,0.0003,x1_to_kvasir
15,0.28032602489276504,0.9267775186836186,0.8928817858571502,4.217537302051315,0.8437908652131529,0.12054284448636783,0.0003,x1_to_kvasir
1,2.5456329620841784,0.7859765582287812,0.053809499057876416,1.9043661864612365,0.847114191757084,0.12628065117151846,0.0003,combined_no_caption
2,1.6191670562565281,0.8355407726684326,0.18433802918557962,1.9485310608199398,0.848315381131481,0.1492798373884775,0.0003,combined_no_caption
3,1.0810144040719714,0.856668700685335,0.4514988026675609,2.0909854369388583,0.854498552665262,0.1684236806389516,0.0003,combined_no_caption
4,0.7819627772770227,0.8732324318985859,0.6419471740666441,2.1922990235807607,0.8603075832463619,0.18566617244705594,0.0003,combined_no_caption
5,0.608222351490939,0.8867592439094074,0.7371453763379175,2.2802278683447224,0.8671011952818857,0.21482692456508487,0.0003,combined_no_caption
6,0.4966714469153193,0.8982296983185838,0.7914452481781361,2.3476226226868877,0.8692278912234409,0.2411082982748655,0.0003,combined_no_caption
7,0.41038876291544696,0.9083845071267076,0.8396791038617987,2.4043130993108335,0.8707441466632535,0.2796160035163268,0.0003,combined_no_caption
8,0.35491797572254485,0.9169908751335927,0.866319993631773,2.4390627945957486,0.8773408424078925,0.27821995227322394,0.0003,combined_no_caption
9,0.31317390415643437,0.9236960823389568,0.8774953643838548,2.574055056288579,0.8815745426619144,0.29639616728476664,0.0003,combined_no_caption
10,0.27896549167121876,0.9299639167439712,0.892774625768205,2.514524720405402,0.8855128684796093,0.3216880768901899,0.0003,combined_no_caption
11,0.2541875966662554,0.9351594823481276,0.9031327341982057,2.5341768502353403,0.8892936612645964,0.34335729273466753,0.0003,combined_no_caption
12,0.22852757755214448,0.939741315151793,0.9129336000062048,2.6062432492823695,0.8934092117440876,0.37299566710188486,0.0003,combined_no_caption
13,0.21504572357106536,0.9434730927547784,0.9194248134348849,2.6301894313373646,0.8950239253293425,0.3712387271785926,0.0003,combined_no_caption
14,0.19884877638629705,0.9464959031571967,0.9253516859826224,2.574981199684002,0.8969340133509245,0.390897315722921,0.0003,combined_no_caption
15,0.1839014236838758,0.9497268183597815,0.9304804122607212,2.632800757224179,0.9013646298958313,0.3959258468378776,0.0003,combined_no_caption
