question_type,support,accuracy,macro_f1,precision,recall
landmark_color,54,0.16666666666666666,0.11303258145363408,0.10744598765432098,0.1851851851851852
abnormality_color,1845,0.5566395663956639,0.29465266908407217,0.30869611975158734,0.35176717761218185
landmark_location,1222,0.5990180032733224,0.2488212382334512,0.28020739939032463,0.29970369511836137
abnormality_location,1898,0.6596417281348789,0.22353741890204926,0.2311342580932516,0.28533764597449746
instrument_location,1911,0.7844060701203558,0.2898375162358857,0.3107664576608376,0.3212159546312727
polyp_type,1959,0.7901990811638591,0.48309014541586665,0.5414329662508185,0.47330067715430346
polyp_size,1936,0.8140495867768595,0.6839644986041742,0.7168215289992615,0.6716678094574517
landmark_presence,1264,0.8971518987341772,0.715452622699152,0.6877054569362262,0.8319700686080693
finding_count,2115,0.9115839243498818,0.7783204712188545,0.8816481921688578,0.7296165480592153
text_presence,2454,0.9258353708231459,0.8915350160137319,0.8986295139026224,0.8849713521772345
instrument_presence,1837,0.9281437125748503,0.5390555849290872,0.49350150017022587,0.6576285037832753
box_artifact_presence,2319,0.9366106080206986,0.9235007442504883,0.9286391654812707,0.9187792527275922
instrument_count,2208,0.9605978260869565,0.47873190740557153,0.47549888728571077,0.4820208418813796
polyp_count,1900,0.9626315789473684,0.63237422410275,0.651222208255268,0.6198297093396079
polyp_removal_status,2312,0.9710207612456747,0.6442772546991966,0.6464065741242843,0.6423608456941791
abnormality_presence,1823,0.9797037849698299,0.6125382352648537,0.6181162270826236,0.638356998195301
procedure_type,2303,0.9960920538428137,0.9948758011582415,0.9946016572576182,0.9951507415872639
finding_presence,237,1.0,1.0,1.0,1.0
